Condition: Short
0,False,none,1.0000150416744873
1,True,none,1.000011291645933
2,False,none,1.0000180416391231
3,True,none,1.0000133750145324
4,False,y,0.7778487916802987
5,True,none,1.0000123750069179
6,False,n,0.9023090417031199
7,False,none,1.0000165416277014
8,True,none,1.0000161667121574
9,True,y,0.5145943333627656
Condition: Medium
0,False,none,1.7500100000179373
1,False,none,1.7500155416782945
2,False,n,1.31255141668953
3,False,none,1.7500095833092928
4,True,n,0.5027723333332688
5,False,none,1.7500037082936615
6,False,n,0.5180740833166055
7,False,none,1.7500078749726526
8,False,none,1.7500089583918452
9,False,n,0.5136984999990091
Condition: Long
0,True,y,2.5018135416903533
1,False,none,2.0000162916840054
2,False,none,2.0000101666664705
3,True,y,1.9902916666469537
4,True,y,1.6357575000147335
5,False,none,2.0000048333895393
6,False,n,0.5040771250496618
7,True,n,0.5020513333147392
8,True,none,2.000005833338946
9,False,n,2.446241333265789
