Condition,Hits,Misses,False Alarms,Correct Rejections,Hit Rate,False Alarm Rate,d-prime,beta
Short,1,0,1,1,1.0,0.5,5.199337582290661,1.3484488214269915e-06
Medium,0,1,0,3,0.0,0.0,-inf,0.0
Long,3,1,0,2,0.75,0.0,5.873827332388898,590714.107234079
