OOKS Domains,Received Naloxone Training Mean,Received Naloxone Training Std Dev,Did Not Receive Naloxone Training Mean,Did Not Receive Naloxone Training Std Dev,Significance
Risk,8.12,1.45,7.1,2.21,0.011
Signs,7,1.12,6.08,1.48,0.001
Action,10.29,0.72,9.31,1.34,<0.001
Naloxone Use,10.79,2.11,7.49,2.78,<0.001
Total Score,36.21,3.23,29.99,5.22,<0.001
