OOKS Domain,Previously Witnessed Overdose Mean,Previously Witnessed Overdose Std Dev,Did Not Witness Overdose Mean,Did Not Witness Overdose Std Dev,Significance
Risk,8,1.57,7.21,2.14,0.178
Signs,7.57,1.4,6.16,1.43,<0.001
Action,10.14,0.77,9.44,1.31,0.048
Naloxone Use,8.71,2.64,8.04,2.95,0.408
Total Score,34.43,4.36,30.85,5.38,0.016
